   MultiSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
          29        869.4        869.5        869.6        869.7        870.0        870.5        871.3        872.1        872.9        874.5        883.4
          30        870.9        871.1        871.3        871.5        871.9        872.5        873.2        874.1        875.0        876.6        894.1
          31        872.5        872.9        873.4        873.9        874.8        875.7        876.7        877.8        878.6        882.7        885.3
          32        874.1        874.3        874.6        875.0        875.4        875.8        876.2        876.9        877.4        879.5        883.4
          33        875.5        875.9        876.8        877.2        877.6        878.0        878.7        879.3        879.6        881.4        917.5
          34        878.2        878.4        878.7        879.2        880.4        881.0        881.8        882.6        883.0        884.6        922.0
          35        884.2        885.5        885.8        886.1        886.5        888.1        889.9        890.7        891.4        892.0        900.9
          36        883.3        883.9        884.5        884.9        885.7        887.0        888.7        890.5        891.4        893.8        911.9
          37        884.0        884.4        885.8        887.6        889.4        892.4        893.5        895.1        897.3        899.8        949.6
          38        877.8        878.0        878.4        878.8        879.8        881.1        882.2        883.0        883.6        884.6        890.3
          39        878.5        878.6        878.8        879.1        879.8        881.8        882.9        883.8        884.5        885.9        899.4
          40        878.0        878.2        878.4        878.7        879.2        880.2        881.6        882.9        883.6        885.1        919.5
          41        878.9        879.1        879.3        879.5        880.0        881.1        882.3        883.5        884.1        885.9        890.7
          42        878.5        878.7        879.0        879.4        880.5        881.7        882.2        883.1        883.9        885.2        903.1
          43        879.0        879.1        879.4        879.7        880.9        881.5        882.3        882.9        883.4        885.4        917.9
          44        881.0        881.5        881.8        882.0        882.3        882.9        883.6        884.1        884.7        886.7        890.4
          45        883.9        884.1        884.4        884.6        884.9        885.4        886.1        886.9        888.3        892.3        926.0
          46        880.0        880.2        880.5        880.7        881.1        881.8        882.6        883.5        884.2        886.6        935.3
          47        881.2        881.6        882.0        882.5        883.4        884.4        885.8        887.8        888.7        889.8        906.8
          48        883.9        884.7        885.7        886.2        887.2        888.6        890.1        891.1        891.8        892.8        934.8
          49        884.4        885.3        886.2        886.6        887.2        888.5        890.1        891.6        892.5        893.9        912.7
          50        883.1        883.3        883.7        884.2        885.2        887.5        891.1        892.6        893.4        896.1        920.6
          51        881.3        881.5        881.9        883.2        884.1        884.7        885.6        886.3        887.1        889.3        917.3
          52        882.6        883.4        884.5        884.9        885.3        886.3        887.2        889.4        890.7        892.7        926.5
          53        883.5        883.8        884.0        884.2        884.4        884.8        885.9        886.6        887.4        890.4        938.7
          54        885.5        885.9        886.1        886.3        886.7        887.2        888.4        890.4        891.7        894.3        921.9
          55        886.6        886.9        887.5        888.7        890.7        891.2        892.2        892.8        893.3        896.8        943.7
          56        887.6        888.0        889.0        891.9        892.3        892.7        893.4        894.5        894.9        898.3        906.4
          57        880.8        880.9        881.0        881.2        881.4        881.8        882.5        883.2        883.7        886.5        925.7
          58        881.7        881.8        882.0        882.1        882.4        882.8        883.4        884.3        885.1        887.1        891.2
          59        882.1        882.2        882.5        882.7        883.3        884.6        885.4        886.1        887.0        889.5        937.8
          60        881.8        881.9        882.1        882.3        882.7        883.3        884.1        885.0        885.8        887.9        905.6
          61        884.0        884.1        884.3        884.4        884.7        885.1        886.4        887.4        888.3        890.4        936.4
          62        882.2        882.3        882.5        882.7        883.1        883.6        885.0        886.0        886.7        889.2        910.4
          63        884.0        884.4        885.2        885.9        887.8        888.6        889.8        890.4        891.3        892.5        925.5
          64        885.0        885.2        885.5        885.9        886.5        887.1        888.0        888.9        889.9        893.5        927.6
          65        886.0        886.2        886.5        886.9        887.5        888.4        889.1        890.1        890.6        891.8        923.9
          66        887.1        887.3        887.8        888.4        889.3        889.9        891.4        892.5        893.2        894.7        927.3
          67        894.7        895.5        896.1        896.7        898.1        898.9        900.3        901.5        902.6        904.5        922.6
          68        896.4        896.9        898.0        898.9        899.6        900.7        901.8        903.3        904.6        905.6        938.2
          69        889.8        890.1        890.7        891.3        892.5        893.4        894.5        895.4        896.1        898.9        937.4
          70        892.0        892.4        892.9        893.4        894.4        895.3        896.3        898.7        900.4        902.2        930.7
          71        894.3        895.0        896.0        896.4        896.9        897.9        899.0        900.6        901.9        906.3        965.0
          72        893.1        893.6        894.2        894.8        895.7        896.6        898.0        899.8        901.2        902.6        926.6
          73        890.7        890.8        891.1        891.4        892.1        892.8        893.8        895.4        896.6        898.8        933.3
          74        891.5        891.7        891.9        892.2        892.7        893.8        894.6        895.8        897.7        900.1        950.6
          75        892.2        892.4        892.6        892.8        893.1        893.9        894.6        895.1        896.1        899.1        944.0
          76        887.3        887.5        887.8        888.0        888.5        889.3        890.4        891.4        892.2        893.5        898.7
          77        887.4        887.5        887.7        887.9        888.4        889.2        890.0        890.7        891.5        893.5        906.6
          78        888.1        888.2        888.4        888.6        889.0        890.3        891.6        893.1        894.3        895.3        923.9
          79        889.4        890.0        891.2        891.8        892.7        893.4        894.8        897.3        898.3        899.8        920.7
          80        890.0        890.2        890.5        891.0        892.5        894.1        895.5        896.7        898.6        900.6        915.0
          81        893.4        893.7        894.1        894.6        896.4        898.7        900.4        901.6        903.7        906.0        920.4
          82        892.7        892.9        893.3        893.9        896.1        898.0        901.0        902.7        903.5        905.8        943.8
          83        892.5        892.7        893.0        893.3        895.3        896.7        898.3        899.4        901.0        904.0        944.6
          84        896.0        896.4        896.7        896.9        897.4        898.6        900.0        902.1        903.2        906.2        914.2
          85        896.0        896.3        897.2        897.6        898.4        900.5        902.2        903.6        904.8        907.6        943.1
          86        890.2        890.3        890.5        890.7        891.1        892.5        896.2        897.6        898.4        899.8        912.5
          87        891.4        891.5        891.7        891.9        892.3        893.2        894.9        896.8        897.7        899.2        913.8
          88        891.8        891.9        892.1        892.4        893.2        895.0        895.9        897.9        898.8        900.0        905.7
          89        892.0        892.2        892.4        892.6        893.2        894.7        895.6        897.2        897.9        899.5        937.3
          90        891.7        891.8        892.0        892.2        892.6        893.4        896.7        898.2        899.0        900.5        908.7
          91        891.2        891.3        891.6        891.8        892.4        894.0        895.6        898.3        899.4        901.1        923.7
          92        892.1        892.3        892.5        892.9        893.5        895.1        897.7        899.3        900.5        902.1        929.6
          93        894.1        894.2        894.5        894.7        895.1        895.8        897.3        898.4        899.7        901.3        945.8
          94        892.7        892.9        893.2        893.5        894.0        895.1        896.7        897.5        898.0        900.5        929.0
          95        893.8        894.0        894.4        894.7        895.3        896.4        897.8        898.6        899.2        901.5        912.0
          96        895.5        895.7        896.0        896.4        897.3        898.0        899.4        900.5        901.3        906.4        952.6
          97        897.1        897.2        897.4        897.6        898.0        898.5        900.2        901.3        901.9        903.5        923.2
          98        896.5        896.6        896.8        897.0        897.4        898.4        899.8        900.4        900.9        903.4        928.8
          99        897.7        897.8        898.1        898.3        898.7        899.7        901.1        902.2        903.6        906.0        938.7
         100        898.2        898.4        898.7        899.0        899.7        901.0        902.1        903.3        904.2        907.3        945.9
         101        899.8        900.1        900.4        900.8        901.4        902.3        903.9        905.3        906.1        908.7        946.3
         102        900.7        901.1        901.9        902.6        903.5        904.9        906.5        908.0        909.1        911.6        926.4
         103        901.8        902.1        902.5        902.9        903.7        905.1        907.0        908.3        909.7        911.4        932.5
         104        901.5        901.8        902.4        903.2        904.2        905.2        907.5        908.9        910.3        912.2        938.2
         105        900.3        900.5        900.8        901.2        902.4        904.8        907.0        909.3        910.2        912.2        946.5
         106        901.1        901.3        901.5        901.7        902.2        903.8        905.0        906.9        908.4        911.3        962.9
         107        901.6        901.7        902.0        902.2        902.5        903.2        905.2        906.0        906.9        910.0        954.1
         108        899.4        900.1        901.4        901.8        902.4        904.4        905.4        907.3        908.0        911.7        945.7
         109        902.2        902.4        902.8        903.3        904.3        906.5        908.5        911.7        914.9        919.3        943.0
         110        900.4        900.9        902.0        903.4        904.7        907.0        908.9        913.9        916.6        918.2        948.5
         111        905.7        906.4        907.5        908.6        910.9        913.1        915.4        917.8        919.6        922.4        953.9
         112        901.7        902.3        902.9        903.5        905.6        907.3        910.1        912.7        915.1        918.1        928.9
         113        901.8        903.7        904.8        905.4        907.1        910.6        914.7        917.5        919.6        924.8        967.7
         114        898.6        898.8        899.3        899.9        900.8        902.7        904.2        906.1        906.9        909.1        943.4
         115        900.6        900.7        900.9        901.1        901.5        903.1        905.6        907.4        909.4        910.4        941.6
         116        900.1        900.2        900.4        900.6        901.0        901.6        904.1        906.0        907.3        909.4        934.8
         117        900.3        900.5        900.7        900.9        901.4        902.1        904.8        906.6        907.8        910.3        939.1
         118        901.7        901.8        902.1        902.4        903.2        906.4        907.8        910.4        911.5        913.7        926.6
         119        901.8        901.9        902.1        902.3        902.9        905.2        906.4        908.4        909.2        910.2        941.3
         120        902.1        902.3        902.6        902.8        903.7        906.1        907.1        909.7        910.3        911.4        947.0
         121        902.0        902.1        902.4        902.6        903.1        905.6        906.6        908.5        909.8        910.4        926.2
         122        901.6        901.7        902.0        902.4        903.1        904.3        906.7        908.0        910.0        911.9        957.8
         123        902.3        902.5        903.2        903.8        905.3        907.8        909.0        910.3        911.7        913.8        937.5
         124        902.8        903.1        903.6        904.1        904.8        906.1        908.1        910.1        911.1        913.2        926.2
         125        904.1        904.3        904.7        905.0        905.6        908.1        909.1        910.1        911.4        912.8        946.9
         126        902.2        902.3        902.6        903.0        903.9        904.6        905.5        908.4        909.1        912.8        947.4
         127        903.9        904.0        904.4        904.8        906.0        907.6        909.8        910.5        911.5        914.2        923.3
         128        905.1        905.4        905.9        906.6        907.1        907.8        910.5        911.6        912.3        915.1        938.2
         129        906.2        906.4        906.5        906.7        907.1        907.6        909.0        911.7        912.3        914.6        947.9
         130        907.3        907.4        907.7        907.9        908.4        909.1        911.9        913.1        913.9        915.7        927.7
         131        907.3        907.4        907.6        907.9        908.5        909.7        911.7        913.6        914.7        917.4        938.6
         132        907.9        908.1        908.5        909.0        910.3        912.0        914.4        915.5        916.9        920.0        953.9
         133        908.2        908.5        908.9        909.6        910.9        912.2        915.1        916.7        919.5        921.0        954.6
         134        910.9        911.4        912.2        912.9        914.2        916.6        918.2        920.0        921.3        923.0        950.3
         135        913.0        913.5        914.0        914.3        915.1        916.9        919.1        920.6        922.0        923.9        955.0
         136        912.5        912.9        913.7        914.7        916.6        918.0        920.4        922.1        922.8        925.7        960.8
         137        909.3        909.5        909.9        910.5        911.7        913.4        916.1        917.2        920.4        922.0        956.1
         138        909.8        909.9        910.2        910.6        912.1        914.4        917.2        921.2        921.7        922.7        965.2
         139        907.4        907.6        908.6        910.5        911.2        913.7        915.2        916.0        917.2        920.4        954.9
         140        908.4        909.1        910.1        910.9        911.9        912.8        915.7        917.1        918.3        922.3        964.7
         141        910.5        910.8        911.2        911.5        912.4        915.3        917.8        922.3        924.5        928.3        948.6
         142        912.4        912.8        913.8        915.3        917.1        918.8        921.9        923.9        926.1        930.0        958.1
         143        911.5        911.9        912.3        912.8        914.2        917.4        918.9        920.5        922.6        924.7        963.4
         144        908.2        909.1        911.2        911.7        912.6        915.7        917.5        920.0        921.0        923.9        943.9
         145        910.6        911.0        911.4        911.9        912.5        913.9        916.8        918.8        920.5        922.4        942.6
         146        909.4        910.4        912.3        912.6        913.0        914.3        917.4        917.9        918.3        922.3        950.6
         147        910.0        910.2        910.4        910.5        910.9        911.6        915.2        915.8        916.3        919.8        937.1
         148        910.5        910.7        910.9        911.1        911.6        915.1        916.0        916.5        917.1        921.0        925.5
         149        909.8        909.9        910.1        910.3        910.6        911.1        914.9        915.6        916.0        918.6        924.2
         150        910.1        910.3        910.5        910.7        911.0        911.6        915.5        916.2        916.7        919.9        952.7
         151        911.8        911.9        912.2        912.6        913.6        914.5        917.1        919.0        919.7        921.6        960.0
         152        911.5        911.6        912.0        912.4        913.9        917.0        918.7        920.6        921.1        923.1        970.5
         153        912.8        912.9        913.2        913.5        914.9        917.7        919.7        921.5        922.1        923.6        963.8
         154        912.5        912.8        913.4        913.9        915.2        917.9        919.5        922.0        922.8        924.6        931.0
         155        912.0        912.2        912.6        913.2        914.6        918.2        919.8        921.8        923.5        925.6        950.8
         156        912.3        912.6        913.1        913.5        914.3        916.4        919.1        920.7        922.0        924.6        953.5
         157        915.8        916.1        916.5        916.9        918.4        921.7        922.7        924.1        924.8        926.6        957.1
         158        912.1        912.3        912.7        913.1        914.0        914.9        918.7        920.3        920.9        923.5        955.7
         159        914.5        914.8        915.5        915.9        917.0        921.2        922.1        923.0        924.6        927.3        950.5
         160        915.2        915.5        916.3        916.8        917.5        918.4        922.0        923.2        924.0        926.3        953.0
         161        916.1        916.3        916.6        916.9        917.5        918.7        923.0        923.7        924.3        926.2        964.5
         162        916.6        916.8        917.1        917.5        918.8        922.5        923.2        924.0        924.8        929.0        960.7
         163        916.8        917.0        917.2        917.5        918.3        920.4        924.7        926.6        929.9        931.5        958.0
         164        917.9        918.3        919.0        919.7        921.2        924.1        926.3        928.5        929.7        931.7        964.2
         165        918.4        918.7        919.2        919.7        921.1        923.0        925.4        927.7        929.3        931.5        963.6
         166        920.0        920.5        921.7        922.7        925.0        927.6        928.6        929.9        930.8        933.7        969.1
         167        922.0        922.5        923.1        923.5        924.2        925.4        928.7        930.6        931.6        933.6        951.9
         168        921.1        921.5        922.3        923.7        926.1        927.4        931.5        932.7        933.2        936.4        969.6
         169        919.7        920.0        920.5        921.8        923.8        926.8        928.8        932.8        933.4        936.2        970.6
         170        920.0        920.2        920.5        920.8        921.8        925.8        928.3        930.8        933.7        934.8        958.3
         171        920.7        921.0        921.4        921.8        923.3        927.1        928.3        929.5        931.1        934.5        966.9
         172        918.6        918.8        919.0        919.2        919.7        921.7        925.2        926.3        928.4        934.9        960.5
         173        919.1        919.3        919.6        919.8        920.4        925.1        926.1        930.6        936.0        936.9        940.8
         174        919.6        919.9        920.1        920.4        921.0        925.7        928.9        934.2        937.1        938.1        978.1
         175        920.5        920.8        921.1        921.4        922.7        926.9        929.1        932.5        933.8        938.2        962.6
         176        919.9        921.5        921.9        922.1        922.7        924.2        928.3        929.8        931.1        934.0        959.9
         177        921.2        921.7        922.1        922.5        923.3        928.1        928.9        930.6        932.4        934.3        964.8
         178        920.1        920.6        922.1        923.1        923.7        924.6        929.2        929.9        930.4        933.4        958.2
         179        920.2        920.4        920.6        920.8        921.2        921.7        926.3        927.5        928.1        931.3        976.6
         180        919.8        920.0        920.3        920.6        921.1        926.1        926.8        927.4        928.0        931.5        968.0
         181        919.4        919.6        919.8        920.0        920.4        921.5        926.4        926.9        927.4        930.7        957.7
         182        920.3        920.4        920.7        920.9        921.3        922.2        927.1        927.7        928.2        931.6        939.1
         183        921.2        921.4        921.8        922.2        923.4        924.4        929.0        930.3        930.9        932.3        939.2
         184        921.3        921.5        921.7        922.0        922.6        924.2        928.2        930.2        931.0        932.4        959.5
         185        922.5        922.7        923.1        923.5        924.6        929.0        930.6        931.7        932.5        934.5        945.7
         186        923.4        923.6        924.0        924.5        925.4        926.7        931.3        932.4        933.1        935.4        976.9
         187        921.1        921.5        921.8        922.1        922.8        924.2        929.4        930.6        931.2        933.3        939.5
         188        922.6        922.8        923.2        923.5        924.3        925.3        930.2        931.5        932.2        934.1        952.4
         189        922.8        923.3        923.8        924.2        925.1        929.6        931.3        932.4        933.1        935.6        966.9
         190        923.4        923.7        924.1        924.5        925.4        930.7        931.9        933.1        933.9        936.3        961.9
         191        924.4        924.8        925.3        925.8        929.4        932.2        933.1        934.4        935.5        937.9        972.8
         192        925.2        925.6        926.0        926.4        927.4        931.8        933.5        934.5        935.2        938.1        977.6
         193        925.5        925.8        926.1        926.5        927.1        930.8        933.4        934.2        934.8        937.5        964.8
         194        925.8        926.0        926.3        926.6        927.3        928.2        933.4        934.6        935.4        937.3        972.7
         195        927.4        927.6        928.0        928.5        929.3        931.2        935.8        937.4        941.3        943.2        956.4
         196        927.1        927.6        928.4        929.2        933.5        935.4        937.8        940.5        941.5        943.4        972.9
         197        929.4        930.0        931.3        932.9        936.3        938.2        939.6        941.4        942.3        946.9        993.6
         198        929.4        929.7        930.9        932.7        933.9        936.5        940.6        942.2        943.0        945.8        983.4
         199        931.5        931.9        932.7        933.3        934.6        938.8        941.4        942.9        944.4        947.0        974.7
         200        928.2        928.4        928.9        929.3        931.5        935.7        936.5        938.2        939.4        942.4        984.5
         201        927.5        927.8        928.2        928.5        929.1        930.7        935.5        936.6        937.9        941.1        978.2
         202        928.5        928.7        929.1        929.5        930.7        936.1        937.1        938.2        939.6        942.1        969.5
         203        927.7        928.6        929.1        929.5        930.2        931.5        936.4        937.7        939.3        942.0        960.7
         204        929.4        929.7        930.1        930.5        931.6        936.5        938.5        939.8        941.2        944.8        982.6
         205        930.1        930.8        931.2        931.6        932.6        935.2        939.7        941.0        942.1        946.1        969.9
         206        929.1        929.3        929.6        929.9        931.5        936.7        937.5        940.0        943.0        945.5        978.4
         207        928.8        929.6        930.0        930.4        931.4        937.1        938.9        943.5        945.2        948.9        964.7
         208        929.3        929.9        930.9        931.5        932.0        933.0        935.0        938.3        940.8        944.2        960.5
         209        927.8        928.4        930.0        930.3        930.9        933.3        937.8        938.7        940.6        943.3        981.2
         210        927.1        927.3        927.8        928.8        930.4        931.2        937.2        937.9        938.4        941.8        968.0
         211        928.6        928.9        929.2        929.4        929.9        934.3        936.9        937.6        938.3        941.9        978.4
         212        927.9        928.2        928.7        929.1        929.8        935.8        936.7        937.2        937.9        941.4        965.4
         213        929.4        929.7        930.2        930.6        931.8        937.7        938.2        938.8        940.1        943.6        959.9
         214        929.8        929.9        930.2        930.4        931.0        937.5        938.2        938.7        939.8        943.4        963.5
         215        931.3        931.5        931.8        932.3        933.4        934.6        939.4        941.7        942.5        944.5        974.4
         216        932.0        932.2        932.6        933.1        934.0        935.7        941.3        942.2        943.1        945.2        975.2
         217        932.1        932.3        932.7        933.2        934.3        935.2        940.4        942.5        943.4        945.2        972.8
         218        932.7        933.0        933.6        934.4        935.4        941.0        942.6        943.7        944.3        946.6        956.9
         219        931.1        931.5        932.1        932.6        933.4        934.5        940.9        941.8        942.5        945.0        960.5
         220        931.3        931.6        932.1        932.5        933.6        935.3        941.2        942.6        943.9        945.5        974.5
         221        933.8        934.1        934.6        935.3        937.5        942.4        943.7        944.6        945.8        948.1        962.5
         222        932.8        933.0        933.3        933.7        934.7        941.1        942.2        943.6        944.6        948.5        988.4
         223        934.4        934.6        934.9        935.2        935.9        937.8        943.4        945.1        946.1        948.2        954.9
         224        934.7        934.9        935.4        935.9        938.1        943.3        944.9        946.1        947.3        950.3        977.6
         225        934.7        934.9        935.3        935.6        936.4        942.5        944.3        945.2        945.8        947.9        987.0
         226        935.5        935.7        935.9        936.2        937.0        943.5        944.4        945.7        946.5        949.1        990.6
         227        937.4        937.7        938.6        939.4        941.4        946.8        948.5        951.2        953.2        955.5       1001.1
         228        939.0        939.6        940.5        941.3        946.4        948.7        950.3        953.5        955.0        956.6        985.9
         229        934.8        935.0        935.4        935.8        936.5        942.4        944.3        945.4        946.7        949.3        978.4
         230        935.2        935.5        935.8        936.1        936.8        937.8        944.1        945.8        947.3        949.4        954.0
         231        935.5        935.7        936.1        936.4        937.3        940.9        945.1        946.4        947.7        949.6        964.7
         232        936.9        937.3        937.9        938.4        941.2        946.0        946.9        948.8        949.8        952.8        984.2
         233        936.1        936.6        937.1        937.4        938.2        939.3        945.6        947.0        948.7        951.1        969.6
         234        939.7        939.9        940.4        941.0        942.7        948.6        949.7        951.6        952.6        955.5        989.7
         235        937.4        938.1        938.9        939.5        943.2        947.3        948.3        950.0        952.0        959.2        974.1
         236        938.1        939.2        939.9        940.4        941.7        945.2        949.7        951.4        952.7        955.2        984.2
         237        939.2        939.5        940.1        940.9        943.3        948.6        950.1        951.3        952.5        956.3        985.1
         238        938.9        939.3        939.7        940.1        941.2        947.2        949.5        950.8        952.0        954.9        982.8
         239        938.3        939.2        939.7        940.1        941.3        944.7        949.2        952.7        954.4        958.1        997.0
         240        943.4        943.9        944.7        946.1        953.9        955.1        956.7        959.0        961.5        965.5        980.4
         241        938.9        939.3        939.6        940.0        941.1        948.0        948.8        950.5        952.8        955.1        994.8
         242        937.5        938.0        939.6        940.1        942.0        948.3        948.8        949.4        950.9        954.1        975.2
         243        938.1        938.2        938.5        938.8        939.3        943.5        947.6        948.3        949.4        952.7        979.9
         244        937.7        937.9        938.2        938.5        938.9        939.8        947.1        947.8        948.2        951.5        982.2
         245        938.6        938.9        939.3        939.7        940.5        947.9        948.6        949.2        950.6        954.3        993.5
         246        938.7        939.0        939.4        939.7        940.7        948.0        948.5        949.1        950.8        954.4        979.4
         247        941.2        941.4        941.8        942.1        942.7        944.1        950.8        952.5        953.7        956.1        980.3
         248        941.5        941.7        942.0        942.4        943.8        950.5        952.5        953.8        954.9        957.2        996.5
         249        941.8        942.0        942.5        943.0        944.6        951.0        953.0        954.2        955.2        958.1        982.5
         250        941.4        941.7        942.2        942.8        943.8        945.6        952.4        953.4        954.1        956.8        993.6
         251        940.7        941.0        941.4        941.8        942.7        944.6        951.4        952.8        953.9        956.2        967.1
         252        941.0        941.4        942.0        942.6        944.1        951.1        953.2        954.2        955.7        959.0        999.9
         253        943.2        943.5        943.8        944.1        945.0        949.1        953.9        955.2        956.3        958.8        981.6
         254        941.8        942.0        942.4        942.7        944.0        951.5        953.1        954.5        956.2        958.6        998.7
         255        944.0        944.4        944.8        945.1        945.9        950.1        954.7        956.0        957.6        959.5        980.6
         256        944.1        944.5        944.9        945.5        947.2        953.7        955.6        958.0        958.8        960.5        979.9
