     Samples  DatasetSize   ServerSize    MultiSize      KeySize    ValueSize          1th          2th          5th         10th         25th         50th         75th         90th         95th         98th         99th
          20      1000000            4         5517           30         1000  1108982.143  1108982.143  1110185.567  1110421.530  1110947.542  1111637.374  1112534.058  1114191.055  1114470.919  1114470.919  1114470.919
          20      1000000            4         7936           30         1000  1173131.753  1173131.753  1173200.573  1173301.783  1173416.654  1174616.175  1175646.565  1176773.556  1180024.567  1180024.567  1180024.567
          20      1000000            4        11416           30         1000  1237563.434  1237563.434  1238764.685  1241629.908  1245418.731  1247130.581  1248748.774  1259626.724  1261409.805  1261409.805  1261409.805
          20      1000000            4        16422           30         1000  1339168.484  1339168.484  1339653.384  1339943.043  1343551.658  1346158.352  1348951.446  1353844.424  1359467.797  1359467.797  1359467.797
          20      1000000            4        23623           30         1000  1406731.757  1406731.757  1412093.315  1421283.116  1427615.882  1431729.094  1436492.135  1445388.768  1448880.591  1448880.591  1448880.591
          20      1000000            4        33981           30         1000  1347890.243  1347890.243  1352752.287  1363696.812  1366229.668  1374796.785  1392985.103  1400554.040  1409680.013  1409680.013  1409680.013
          20      1000000            4        48880           30         1000  1343856.165  1343856.165  1349878.323  1350240.094  1352684.393  1360172.012  1366613.105  1371830.042  1380349.082  1380349.082  1380349.082
          20      1000000            4        70312           30         1000  1362850.778  1362850.778  1363513.182  1367337.262  1394622.178  1402835.057  1436062.309  1466849.383  1491604.868  1491604.868  1491604.868
          20      1000000            8          100           30         1000  1509410.171  1509410.171  1510391.736  1511015.591  1511502.055  1512606.618  1513932.470  1515131.211  1516526.443  1516526.443  1516526.443
          20      1000000            8          144           30         1000  1617913.373  1617913.373  1618591.667  1621206.063  1623376.090  1626114.864  1628599.922  1630239.299  1632714.914  1632714.914  1632714.914
          20      1000000            8          208           30         1000  1437782.098  1437782.098  1438425.020  1438753.788  1440184.522  1441696.316  1442750.838  1447940.266  1449628.954  1449628.954  1449628.954
          20      1000000            8          300           30         1000  1376693.713  1376693.713  1376697.075  1377246.091  1378733.025  1379499.777  1380472.034  1381697.320  1382369.611  1382369.611  1382369.611
          20      1000000            8          432           30         1000  1305682.378  1305682.378  1305701.985  1306549.554  1308683.022  1312674.728  1314838.421  1317379.289  1317543.555  1317543.555  1317543.555
          20      1000000            8          622           30         1000  1244278.304  1244278.304  1245316.918  1246686.008  1248734.319  1249805.480  1251659.623  1252610.264  1253154.300  1253154.300  1253154.300
          20      1000000            8          895           30         1000  1172252.762  1172252.762  1172530.809  1172671.007  1174262.990  1175371.413  1176964.376  1178225.086  1178752.486  1178752.486  1178752.486
          20      1000000            8         1288           30         1000  1129350.991  1129350.991  1130478.778  1130638.037  1132301.041  1133518.645  1134924.741  1136181.690  1136850.532  1136850.532  1136850.532
          20      1000000            8         1853           30         1000  1121498.756  1121498.756  1121716.471  1122042.240  1123416.851  1126112.890  1129909.877  1131217.052  1134198.227  1134198.227  1134198.227
          20      1000000            8         2666           30         1000  1081237.357  1081237.357  1081888.690  1081942.274  1082378.730  1082772.374  1083462.466  1084503.107  1099936.274  1099936.274  1099936.274
          20      1000000            8         3835           30         1000  1078162.964  1078162.964  1079806.556  1081373.473  1082186.426  1083359.544  1084924.563  1085222.298  1086256.523  1086256.523  1086256.523
          20      1000000            8         5517           30         1000  1105364.557  1105364.557  1106698.075  1106886.096  1107250.212  1108230.795  1108950.658  1109999.893  1110394.256  1110394.256  1110394.256
          20      1000000            8         7936           30         1000  1175460.637  1175460.637  1176343.708  1177133.001  1177326.788  1178045.088  1180071.772  1181187.660  1194077.671  1194077.671  1194077.671
